date,fuel,generation
2018-06-01,GEO,2599669.564
2018-06-01,HPS,-866648.0
2018-06-01,HYC,55194976.956
2018-06-01,MLG,3035390.874
2018-06-01,NG,262171445.902
2018-06-01,NUC,139375112.0
2018-06-01,OOG,2182519.52
2018-06-01,ORW,404599.194
2018-06-01,OTH,2208570.492
2018-06-01,PC,1668600.22
2018-06-01,RFO,1056616.632
2018-06-01,SUN,14829334.016
2018-06-01,WND,49405711.846
2018-06-01,WOC,1417061.776
2018-06-01,WOO,128903.38
2018-06-01,WWW,6941497.176
2018-07-01,COL,229075365.236
2018-07-01,DFO,777623.008
2018-07-01,GEO,2739222.59
2018-07-01,HPS,-1288938.0
2018-07-01,HYC,50199057.936
2018-07-01,MLG,3095424.892
2018-07-01,NG,330150852.606
2018-07-01,NUC,144912018.0
2018-07-01,OOG,2343239.288
2018-07-01,ORW,404637.338
2018-07-01,OTH,2221275.034
2018-07-01,PC,1825115.034
2018-07-01,RFO,1044253.72
2018-07-01,SUN,13509751.59
2018-07-01,WND,32893148.778
2018-07-01,WOC,1677387.7079999999
2018-07-01,WOO,155024.422
2018-07-01,WWW,7498912.336
2018-08-01,COL,228602831.93
2018-08-01,DFO,828908.154
2018-08-01,GEO,2734110.074
2018-08-01,HPS,-1494470.0
2018-08-01,HYC,44033810.718
2018-08-01,MLG,3099624.952
2018-08-01,NG,324001268.1
2018-08-01,NUC,144564934.0
2018-08-01,OOG,2602004.7800000003
2018-08-01,ORW,415413.31799999997
2018-08-01,OTH,2291986.852
2018-08-01,PC,1758816.406
2018-08-01,RFO,1109459.5119999999
2018-08-01,SUN,13390815.922
2018-08-01,WND,39692873.986
2018-08-01,WOC,1656079.634
2018-08-01,WOO,156227.952
2018-08-01,WWW,7259603.278
2018-09-01,COL,191710411.4
2018-09-01,DFO,787985.816
2018-09-01,GEO,2655815.382
2018-09-01,HPS,-1206226.0
2018-09-01,HYC,38331241.602
2018-09-01,MLG,2795991.726
2018-09-01,NG,284170371.352
2018-09-01,NUC,129449506.0
2018-09-01,OOG,2208716.916
2018-09-01,ORW,383123.292
2018-09-01,OTH,2008959.528
2018-09-01,PC,1598264.758
2018-09-01,RFO,1164415.522
2018-09-01,SUN,11921802.954
2018-09-01,WND,37039341.258
2018-09-01,WOC,1377573.496
2018-09-01,WOO,157391.588
2018-09-01,WWW,6561232.878
2018-10-01,COL,173225137.626
2018-10-01,DFO,798320.858
2018-10-01,GEO,2546180.574
2018-10-01,HPS,-984404.0
2018-10-01,HYC,39096381.836
2018-10-01,MLG,3024359.6
2018-10-01,NG,246560893.142
2018-10-01,NUC,118793810.0
2018-10-01,OOG,2032003.984
2018-10-01,ORW,462413.01
2018-10-01,OTH,2168924.936
2018-10-01,PC,1124346.632
2018-10-01,RFO,1061565.022
2018-10-01,SUN,9939381.936
2018-10-01,WND,42387796.018
2018-10-01,WOC,1302117.138
2018-10-01,WOO,169184.696
2018-10-01,WWW,6431887.51
2018-11-01,COL,183957579.992
2018-11-01,DFO,939477.11
2018-11-01,GEO,2661687.256
2018-11-01,HPS,-685414.0
2018-11-01,HYC,43825432.904
